Kategori: Alla kategorier;
;
Dag;algorand: (Över hela världen)
2023-11-17;37
2023-11-18;37
2023-11-19;34
2023-11-20;44
2023-11-21;34
2023-11-22;28
2023-11-23;33
2023-11-24;40
2023-11-25;36
2023-11-26;34
2023-11-27;25
2023-11-28;33
2023-11-29;31
2023-11-30;39
2023-12-01;45
2023-12-02;50
2023-12-03;44
2023-12-04;43
2023-12-05;47
2023-12-06;48
2023-12-07;45
2023-12-08;80
2023-12-09;100
2023-12-10;68
2023-12-11;51
2023-12-12;58
2023-12-13;43
2023-12-14;51
2023-12-15;45
2023-12-16;36
2023-12-17;37
2023-12-18;39
2023-12-19;41
2023-12-20;40
2023-12-21;55
2023-12-22;92
2023-12-23;66
2023-12-24;57
2023-12-25;53
2023-12-26;54
2023-12-27;52
2023-12-28;51
2023-12-29;45
2023-12-30;41
2023-12-31;40
2024-01-01;55
2024-01-02;52
2024-01-03;54
2024-01-04;42
2024-01-05;38
2024-01-06;43
2024-01-07;42
2024-01-08;43
2024-01-09;35
2024-01-10;41
2024-01-11;57
2024-01-12;39
2024-01-13;39
2024-01-14;40
2024-01-15;33
2024-01-16;34
2024-01-17;32
2024-01-18;31
2024-01-19;28
2024-01-20;32
2024-01-21;27
2024-01-22;28
2024-01-23;31
2024-01-24;31
2024-01-25;23
2024-01-26;30
2024-01-27;27
2024-01-28;29
2024-01-29;28
2024-01-30;30
2024-01-31;33
2024-02-01;27
2024-02-02;27
2024-02-03;26
2024-02-04;25
2024-02-05;33
2024-02-06;30
2024-02-07;30
2024-02-08;23
2024-02-09;33
2024-02-10;34
2024-02-11;30
2024-02-12;30
2024-02-13;29
2024-02-14;39
2024-02-15;34
2024-02-16;31
2024-02-17;36
2024-02-18;46
2024-02-19;31
2024-02-20;37
2024-02-21;28
2024-02-22;34
2024-02-23;32
2024-02-24;32
2024-02-25;60
2024-02-26;40
2024-02-27;49
2024-02-28;63
2024-02-29;55
2024-03-01;63
2024-03-02;64
2024-03-03;68
2024-03-04;76
2024-03-05;66
2024-03-06;60
2024-03-07;84
2024-03-08;64
2024-03-09;59
2024-03-10;54
2024-03-11;86
2024-03-12;76
2024-03-13;88
2024-03-14;61
2024-03-15;54
2024-03-16;42
2024-03-17;50
2024-03-18;55
2024-03-19;34
2024-03-20;45
2024-03-21;40
2024-03-22;36
2024-03-23;40
2024-03-24;40
2024-03-25;49
2024-03-26;48
2024-03-27;57
2024-03-28;46
2024-03-29;49
2024-03-30;34
2024-03-31;43
2024-04-01;46
2024-04-02;41
2024-04-03;43
2024-04-04;38
2024-04-05;34
2024-04-06;34
2024-04-07;35
2024-04-08;35
2024-04-09;33
2024-04-10;42
2024-04-11;30
2024-04-12;31
2024-04-13;40
2024-04-14;28
2024-04-15;32
2024-04-16;36
2024-04-17;35
2024-04-18;33
2024-04-19;19
2024-04-20;26
2024-04-21;24
2024-04-22;37
2024-04-23;28
2024-04-24;78
2024-04-25;32
2024-04-26;38
2024-04-27;32
2024-04-28;23
2024-04-29;27
2024-04-30;25
2024-05-01;29
2024-05-02;27
2024-05-03;18
2024-05-04;26
2024-05-05;25
2024-05-06;24
2024-05-07;27
2024-05-08;27
2024-05-09;19
2024-05-10;18
2024-05-11;13
2024-05-12;27
2024-05-13;15
2024-05-14;27
2024-05-15;34
2024-05-16;22
2024-05-17;22
