Kategori: Alla kategorier;
;
Dag;bitcoin: (Över hela världen)
2023-11-17;28
2023-11-18;26
2023-11-19;25
2023-11-20;29
2023-11-21;29
2023-11-22;30
2023-11-23;27
2023-11-24;29
2023-11-25;26
2023-11-26;25
2023-11-27;26
2023-11-28;26
2023-11-29;27
2023-11-30;27
2023-12-01;28
2023-12-02;29
2023-12-03;31
2023-12-04;52
2023-12-05;51
2023-12-06;46
2023-12-07;40
2023-12-08;40
2023-12-09;35
2023-12-10;35
2023-12-11;40
2023-12-12;34
2023-12-13;33
2023-12-14;34
2023-12-15;31
2023-12-16;30
2023-12-17;28
2023-12-18;31
2023-12-19;33
2023-12-20;34
2023-12-21;34
2023-12-22;34
2023-12-23;31
2023-12-24;31
2023-12-25;30
2023-12-26;33
2023-12-27;32
2023-12-28;33
2023-12-29;32
2023-12-30;28
2023-12-31;28
2024-01-01;31
2024-01-02;49
2024-01-03;52
2024-01-04;41
2024-01-05;43
2024-01-06;35
2024-01-07;35
2024-01-08;48
2024-01-09;56
2024-01-10;81
2024-01-11;88
2024-01-12;57
2024-01-13;43
2024-01-14;37
2024-01-15;39
2024-01-16;36
2024-01-17;34
2024-01-18;35
2024-01-19;35
2024-01-20;31
2024-01-21;28
2024-01-22;35
2024-01-23;38
2024-01-24;33
2024-01-25;31
2024-01-26;31
2024-01-27;26
2024-01-28;25
2024-01-29;27
2024-01-30;30
2024-01-31;27
2024-02-01;26
2024-02-02;26
2024-02-03;23
2024-02-04;24
2024-02-05;25
2024-02-06;25
2024-02-07;25
2024-02-08;30
2024-02-09;37
2024-02-10;29
2024-02-11;31
2024-02-12;40
2024-02-13;45
2024-02-14;46
2024-02-15;46
2024-02-16;39
2024-02-17;33
2024-02-18;31
2024-02-19;34
2024-02-20;34
2024-02-21;32
2024-02-22;31
2024-02-23;30
2024-02-24;26
2024-02-25;28
2024-02-26;37
2024-02-27;61
2024-02-28;95
2024-02-29;87
2024-03-01;61
2024-03-02;51
2024-03-03;48
2024-03-04;87
2024-03-05;100
2024-03-06;77
2024-03-07;61
2024-03-08;60
2024-03-09;55
2024-03-10;56
2024-03-11;83
2024-03-12;73
2024-03-13;71
2024-03-14;62
2024-03-15;67
2024-03-16;53
2024-03-17;52
2024-03-18;52
2024-03-19;67
2024-03-20;61
2024-03-21;52
2024-03-22;47
2024-03-23;41
2024-03-24;41
2024-03-25;53
2024-03-26;49
2024-03-27;48
2024-03-28;46
2024-03-29;45
2024-03-30;37
2024-03-31;39
2024-04-01;44
2024-04-02;52
2024-04-03;44
2024-04-04;43
2024-04-05;40
2024-04-06;34
2024-04-07;35
2024-04-08;47
2024-04-09;41
2024-04-10;40
2024-04-11;40
2024-04-12;46
2024-04-13;50
2024-04-14;57
2024-04-15;53
2024-04-16;49
2024-04-17;50
2024-04-18;56
2024-04-19;78
2024-04-20;72
2024-04-21;43
2024-04-22;41
2024-04-23;37
2024-04-24;38
2024-04-25;35
2024-04-26;33
2024-04-27;30
2024-04-28;29
2024-04-29;32
2024-04-30;40
2024-05-01;47
2024-05-02;38
2024-05-03;39
2024-05-04;32
2024-05-05;31
2024-05-06;33
2024-05-07;31
2024-05-08;30
2024-05-09;27
2024-05-10;29
2024-05-11;27
2024-05-12;26
2024-05-13;30
2024-05-14;28
2024-05-15;32
2024-05-16;32
2024-05-17;32
