Kategori: Alla kategorier;
;
Dag;buy stocks: (Över hela världen)
2023-11-13;56
2023-11-14;51
2023-11-15;62
2023-11-16;56
2023-11-17;59
2023-11-18;36
2023-11-19;32
2023-11-20;55
2023-11-21;55
2023-11-22;50
2023-11-23;41
2023-11-24;45
2023-11-25;33
2023-11-26;36
2023-11-27;42
2023-11-28;53
2023-11-29;61
2023-11-30;66
2023-12-01;62
2023-12-02;44
2023-12-03;41
2023-12-04;65
2023-12-05;71
2023-12-06;74
2023-12-07;73
2023-12-08;74
2023-12-09;43
2023-12-10;42
2023-12-11;68
2023-12-12;70
2023-12-13;72
2023-12-14;81
2023-12-15;73
2023-12-16;44
2023-12-17;46
2023-12-18;73
2023-12-19;70
2023-12-20;69
2023-12-21;64
2023-12-22;64
2023-12-23;41
2023-12-24;38
2023-12-25;41
2023-12-26;66
2023-12-27;78
2023-12-28;78
2023-12-29;78
2023-12-30;49
2023-12-31;44
2024-01-01;68
2024-01-02;80
2024-01-03;79
2024-01-04;90
2024-01-05;87
2024-01-06;48
2024-01-07;46
2024-01-08;83
2024-01-09;83
2024-01-10;76
2024-01-11;84
2024-01-12;79
2024-01-13;46
2024-01-14;44
2024-01-15;65
2024-01-16;78
2024-01-17;74
2024-01-18;73
2024-01-19;82
2024-01-20;75
2024-01-21;51
2024-01-22;64
2024-01-23;84
2024-01-24;85
2024-01-25;85
2024-01-26;62
2024-01-27;49
2024-01-28;47
2024-01-29;82
2024-01-30;92
2024-01-31;91
2024-02-01;100
2024-02-02;96
2024-02-03;64
2024-02-04;56
2024-02-05;100
2024-02-06;88
2024-02-07;98
2024-02-08;94
2024-02-09;88
2024-02-10;52
2024-02-11;50
2024-02-12;83
2024-02-13;79
2024-02-14;73
2024-02-15;85
2024-02-16;84
2024-02-17;52
2024-02-18;49
2024-02-19;65
2024-02-20;74
2024-02-21;75
2024-02-22;86
2024-02-23;90
2024-02-24;53
2024-02-25;52
2024-02-26;82
2024-02-27;82
2024-02-28;86
2024-02-29;84
2024-03-01;78
2024-03-02;62
2024-03-03;57
2024-03-04;86
2024-03-05;86
2024-03-06;85
2024-03-07;86
2024-03-08;70
2024-03-09;53
2024-03-10;43
2024-03-11;68
2024-03-12;75
2024-03-13;79
2024-03-14;71
2024-03-15;67
2024-03-16;43
2024-03-17;42
2024-03-18;64
2024-03-19;66
2024-03-20;68
2024-03-21;73
2024-03-22;69
2024-03-23;40
2024-03-24;45
2024-03-25;59
2024-03-26;69
2024-03-27;70
2024-03-28;66
2024-03-29;49
2024-03-30;40
2024-03-31;38
2024-04-01;66
2024-04-02;67
2024-04-03;71
2024-04-04;69
2024-04-05;69
2024-04-06;48
2024-04-07;43
2024-04-08;66
2024-04-09;62
2024-04-10;64
2024-04-11;50
2024-04-12;64
2024-04-13;42
2024-04-14;41
2024-04-15;59
2024-04-16;55
2024-04-17;51
2024-04-18;60
2024-04-19;54
2024-04-20;35
2024-04-21;32
2024-04-22;57
2024-04-23;57
2024-04-24;58
2024-04-25;58
2024-04-26;63
2024-04-27;35
2024-04-28;41
2024-04-29;63
2024-04-30;62
2024-05-01;51
2024-05-02;63
2024-05-03;62
2024-05-04;37
2024-05-05;36
2024-05-06;55
2024-05-07;56
2024-05-08;55
2024-05-09;57
2024-05-10;53
2024-05-11;32
2024-05-12;29
2024-05-13;56
2024-05-14;74
2024-05-15;70
2024-05-16;73
2024-05-17;66
