Kategori: Alla kategorier;
;
Dag;dogecoin: (Över hela världen)
2023-11-17;18
2023-11-18;17
2023-11-19;13
2023-11-20;14
2023-11-21;13
2023-11-22;13
2023-11-23;11
2023-11-24;11
2023-11-25;13
2023-11-26;11
2023-11-27;12
2023-11-28;12
2023-11-29;12
2023-11-30;13
2023-12-01;14
2023-12-02;14
2023-12-03;14
2023-12-04;23
2023-12-05;24
2023-12-06;37
2023-12-07;24
2023-12-08;27
2023-12-09;22
2023-12-10;19
2023-12-11;19
2023-12-12;17
2023-12-13;16
2023-12-14;16
2023-12-15;15
2023-12-16;14
2023-12-17;13
2023-12-18;13
2023-12-19;13
2023-12-20;14
2023-12-21;14
2023-12-22;14
2023-12-23;14
2023-12-24;15
2023-12-25;15
2023-12-26;14
2023-12-27;14
2023-12-28;14
2023-12-29;12
2023-12-30;12
2023-12-31;11
2024-01-01;13
2024-01-02;16
2024-01-03;15
2024-01-04;14
2024-01-05;13
2024-01-06;13
2024-01-07;13
2024-01-08;14
2024-01-09;15
2024-01-10;14
2024-01-11;18
2024-01-12;17
2024-01-13;13
2024-01-14;11
2024-01-15;11
2024-01-16;11
2024-01-17;11
2024-01-18;10
2024-01-19;11
2024-01-20;13
2024-01-21;18
2024-01-22;13
2024-01-23;12
2024-01-24;11
2024-01-25;11
2024-01-26;10
2024-01-27;10
2024-01-28;9
2024-01-29;11
2024-01-30;11
2024-01-31;9
2024-02-01;9
2024-02-02;9
2024-02-03;8
2024-02-04;8
2024-02-05;9
2024-02-06;9
2024-02-07;8
2024-02-08;9
2024-02-09;10
2024-02-10;9
2024-02-11;10
2024-02-12;11
2024-02-13;13
2024-02-14;14
2024-02-15;14
2024-02-16;12
2024-02-17;10
2024-02-18;10
2024-02-19;14
2024-02-20;15
2024-02-21;12
2024-02-22;11
2024-02-23;10
2024-02-24;10
2024-02-25;10
2024-02-26;13
2024-02-27;24
2024-02-28;42
2024-02-29;55
2024-03-01;41
2024-03-02;45
2024-03-03;41
2024-03-04;82
2024-03-05;100
2024-03-06;50
2024-03-07;38
2024-03-08;40
2024-03-09;41
2024-03-10;38
2024-03-11;41
2024-03-12;38
2024-03-13;38
2024-03-14;46
2024-03-15;36
2024-03-16;32
2024-03-17;30
2024-03-18;28
2024-03-19;28
2024-03-20;28
2024-03-21;28
2024-03-22;26
2024-03-23;27
2024-03-24;30
2024-03-25;33
2024-03-26;32
2024-03-27;33
2024-03-28;64
2024-03-29;47
2024-03-30;36
2024-03-31;35
2024-04-01;37
2024-04-02;32
2024-04-03;28
2024-04-04;27
2024-04-05;25
2024-04-06;25
2024-04-07;31
2024-04-08;30
2024-04-09;25
2024-04-10;23
2024-04-11;23
2024-04-12;26
2024-04-13;25
2024-04-14;25
2024-04-15;25
2024-04-16;21
2024-04-17;20
2024-04-18;23
2024-04-19;23
2024-04-20;22
2024-04-21;19
2024-04-22;19
2024-04-23;18
2024-04-24;17
2024-04-25;17
2024-04-26;15
2024-04-27;15
2024-04-28;15
2024-04-29;16
2024-04-30;16
2024-05-01;18
2024-05-02;15
2024-05-03;16
2024-05-04;21
2024-05-05;21
2024-05-06;19
2024-05-07;15
2024-05-08;14
2024-05-09;14
2024-05-10;14
2024-05-11;11
2024-05-12;12
2024-05-13;16
2024-05-14;16
2024-05-15;17
2024-05-16;15
2024-05-17;14
