Category: All categories

Day;ALGO: (Worldwide)
2023-11-17;97
2023-11-18;88
2023-11-19;83
2023-11-20;84
2023-11-21;92
2023-11-22;92
2023-11-23;93
2023-11-24;87
2023-11-25;76
2023-11-26;83
2023-11-27;88
2023-11-28;87
2023-11-29;93
2023-11-30;88
2023-12-01;85
2023-12-02;81
2023-12-03;73
2023-12-04;79
2023-12-05;88
2023-12-06;86
2023-12-07;81
2023-12-08;89
2023-12-09;79
2023-12-10;86
2023-12-11;83
2023-12-12;89
2023-12-13;86
2023-12-14;82
2023-12-15;79
2023-12-16;75
2023-12-17;74
2023-12-18;76
2023-12-19;80
2023-12-20;79
2023-12-21;77
2023-12-22;86
2023-12-23;69
2023-12-24;68
2023-12-25;63
2023-12-26;79
2023-12-27;80
2023-12-28;79
2023-12-29;79
2023-12-30;70
2023-12-31;72
2024-01-01;67
2024-01-02;77
2024-01-03;78
2024-01-04;82
2024-01-05;79
2024-01-06;80
2024-01-07;77
2024-01-08;78
2024-01-09;82
2024-01-10;82
2024-01-11;85
2024-01-12;87
2024-01-13;80
2024-01-14;81
2024-01-15;83
2024-01-16;86
2024-01-17;87
2024-01-18;84
2024-01-19;87
2024-01-20;78
2024-01-21;78
2024-01-22;81
2024-01-23;86
2024-01-24;84
2024-01-25;87
2024-01-26;87
2024-01-27;82
2024-01-28;90
2024-01-29;85
2024-01-30;90
2024-01-31;85
2024-02-01;83
2024-02-02;83
2024-02-03;77
2024-02-04;78
2024-02-05;80
2024-02-06;89
2024-02-07;87
2024-02-08;90
2024-02-09;89
2024-02-10;86
2024-02-11;77
2024-02-12;79
2024-02-13;86
2024-02-14;95
2024-02-15;87
2024-02-16;88
2024-02-17;82
2024-02-18;87
2024-02-19;85
2024-02-20;93
2024-02-21;92
2024-02-22;90
2024-02-23;93
2024-02-24;89
2024-02-25;87
2024-02-26;92
2024-02-27;97
2024-02-28;98
2024-02-29;93
2024-03-01;90
2024-03-02;87
2024-03-03;89
2024-03-04;91
2024-03-05;97
2024-03-06;99
2024-03-07;93
2024-03-08;91
2024-03-09;95
2024-03-10;84
2024-03-11;93
2024-03-12;98
2024-03-13;100
2024-03-14;88
2024-03-15;92
2024-03-16;83
2024-03-17;87
2024-03-18;90
2024-03-19;100
2024-03-20;95
2024-03-21;93
2024-03-22;86
2024-03-23;83
2024-03-24;81
2024-03-25;87
2024-03-26;87
2024-03-27;87
2024-03-28;81
2024-03-29;82
2024-03-30;78
2024-03-31;81
2024-04-01;90
2024-04-02;89
2024-04-03;94
2024-04-04;93
2024-04-05;91
2024-04-06;89
2024-04-07;85
2024-04-08;91
2024-04-09;94
2024-04-10;97
2024-04-11;98
2024-04-12;93
2024-04-13;86
2024-04-14;89
2024-04-15;93
2024-04-16;96
2024-04-17;94
2024-04-18;93
2024-04-19;92
2024-04-20;85
2024-04-21;89
2024-04-22;91
2024-04-23;97
2024-04-24;98
2024-04-25;97
2024-04-26;97
2024-04-27;85
2024-04-28;90
2024-04-29;89
2024-04-30;91
2024-05-01;90
2024-05-02;93
2024-05-03;87
2024-05-04;87
2024-05-05;86
2024-05-06;89
2024-05-07;90
2024-05-08;98
2024-05-09;97
2024-05-10;89
2024-05-11;85
2024-05-12;84
2024-05-13;83
2024-05-14;92
2024-05-15;91
2024-05-16;95
2024-05-17;91
2024-05-18;84
2024-05-19;77
2024-05-20;89
2024-05-21;91
2024-05-22;94
2024-05-23;94
2024-05-24;90
2024-05-25;80
2024-05-26;82
2024-05-27;86
2024-05-28;92
2024-05-29;91
2024-05-30;91
2024-05-31;87
2024-06-01;83
2024-06-02;86
2024-06-03;90
2024-06-04;92
2024-06-05;94
2024-06-06;95
2024-06-07;92
2024-06-08;89
2024-06-09;88
2024-06-10;92
2024-06-11;94
2024-06-12;96
2024-06-13;95
2024-06-14;90
2024-06-15;75
2024-06-16;77
2024-06-17;93
2024-06-18;92
2024-06-19;92
2024-06-20;91
2024-06-21;85
2024-06-22;82
2024-06-23;82
2024-06-24;85
2024-06-25;86
2024-06-26;88
2024-06-27;86
2024-06-28;86
2024-06-29;77
2024-06-30;80
2024-07-01;80
2024-07-02;75
2024-07-03;88
2024-07-04;85
2024-07-05;81
2024-07-06;70
2024-07-07;75
2024-07-08;79
2024-07-09;83
2024-07-10;81
2024-07-11;82
2024-07-12;78
2024-07-13;82
2024-07-14;71
2024-07-15;80
2024-07-16;88
2024-07-17;85
