Kategori: Alla kategorier

Dag;BTC: (Över hela världen)
2023-11-17;24
2023-11-18;21
2023-11-19;20
2023-11-20;25
2023-11-21;26
2023-11-22;26
2023-11-23;23
2023-11-24;25
2023-11-25;21
2023-11-26;20
2023-11-27;22
2023-11-28;23
2023-11-29;24
2023-11-30;21
2023-12-01;25
2023-12-02;27
2023-12-03;27
2023-12-04;49
2023-12-05;47
2023-12-06;45
2023-12-07;37
2023-12-08;35
2023-12-09;30
2023-12-10;26
2023-12-11;37
2023-12-12;30
2023-12-13;29
2023-12-14;30
2023-12-15;27
2023-12-16;25
2023-12-17;24
2023-12-18;29
2023-12-19;28
2023-12-20;29
2023-12-21;31
2023-12-22;29
2023-12-23;25
2023-12-24;25
2023-12-25;25
2023-12-26;28
2023-12-27;28
2023-12-28;26
2023-12-29;27
2023-12-30;25
2023-12-31;22
2024-01-01;26
2024-01-02;41
2024-01-03;43
2024-01-04;36
2024-01-05;34
2024-01-06;28
2024-01-07;28
2024-01-08;45
2024-01-09;51
2024-01-10;64
2024-01-11;72
2024-01-12;47
2024-01-13;37
2024-01-14;29
2024-01-15;32
2024-01-16;32
2024-01-17;28
2024-01-18;29
2024-01-19;30
2024-01-20;25
2024-01-21;22
2024-01-22;30
2024-01-23;35
2024-01-24;29
2024-01-25;25
2024-01-26;27
2024-01-27;24
2024-01-28;23
2024-01-29;25
2024-01-30;27
2024-01-31;26
2024-02-01;24
2024-02-02;23
2024-02-03;21
2024-02-04;21
2024-02-05;23
2024-02-06;22
2024-02-07;22
2024-02-08;27
2024-02-09;37
2024-02-10;30
2024-02-11;31
2024-02-12;43
2024-02-13;42
2024-02-14;48
2024-02-15;46
2024-02-16;37
2024-02-17;31
2024-02-18;28
2024-02-19;33
2024-02-20;32
2024-02-21;32
2024-02-22;29
2024-02-23;28
2024-02-24;26
2024-02-25;25
2024-02-26;36
2024-02-27;62
2024-02-28;99
2024-02-29;79
2024-03-01;55
2024-03-02;47
2024-03-03;44
2024-03-04;89
2024-03-05;100
2024-03-06;74
2024-03-07;58
2024-03-08;63
2024-03-09;51
2024-03-10;53
2024-03-11;80
2024-03-12;62
2024-03-13;62
2024-03-14;57
2024-03-15;65
2024-03-16;52
2024-03-17;49
2024-03-18;47
2024-03-19;63
2024-03-20;55
2024-03-21;47
2024-03-22;41
2024-03-23;37
2024-03-24;34
2024-03-25;49
2024-03-26;44
2024-03-27;43
2024-03-28;41
2024-03-29;37
2024-03-30;34
2024-03-31;34
2024-04-01;39
2024-04-02;47
2024-04-03;40
2024-04-04;36
2024-04-05;38
2024-04-06;30
2024-04-07;33
2024-04-08;44
2024-04-09;38
2024-04-10;37
2024-04-11;36
2024-04-12;45
2024-04-13;53
2024-04-14;52
2024-04-15;50
2024-04-16;46
2024-04-17;47
2024-04-18;48
2024-04-19;68
2024-04-20;61
2024-04-21;38
2024-04-22;40
2024-04-23;36
2024-04-24;35
2024-04-25;33
2024-04-26;31
2024-04-27;27
2024-04-28;27
2024-04-29;31
2024-04-30;38
2024-05-01;46
2024-05-02;38
2024-05-03;36
2024-05-04;31
2024-05-05;29
2024-05-06;32
2024-05-07;27
2024-05-08;27
2024-05-09;27
2024-05-10;30
2024-05-11;24
2024-05-12;24
2024-05-13;29
2024-05-14;27
2024-05-15;30
2024-05-16;32
2024-05-17;31
2024-05-18;26
2024-05-19;25
2024-05-20;35
2024-05-21;44
2024-05-22;34
2024-05-23;32
2024-05-24;30
2024-05-25;25
2024-05-26;25
2024-05-27;27
2024-05-28;28
2024-05-29;26
2024-05-30;26
2024-05-31;25
2024-06-01;22
2024-06-02;21
2024-06-03;27
2024-06-04;29
2024-06-05;33
2024-06-06;30
2024-06-07;32
2024-06-08;27
2024-06-09;23
2024-06-10;26
2024-06-11;30
2024-06-12;31
2024-06-13;28
2024-06-14;28
2024-06-15;23
2024-06-16;21
2024-06-17;26
2024-06-18;29
2024-06-19;25
2024-06-20;26
2024-06-21;26
2024-06-22;22
2024-06-23;22
2024-06-24;37
2024-06-25;30
2024-06-26;27
2024-06-27;25
2024-06-28;24
2024-06-29;22
2024-06-30;22
2024-07-01;26
2024-07-02;23
2024-07-03;26
2024-07-04;36
2024-07-05;46
2024-07-06;30
2024-07-07;27
2024-07-08;33
2024-07-09;29
2024-07-10;26
2024-07-11;28
2024-07-12;28
2024-07-13;25
2024-07-14;28
2024-07-15;36
2024-07-16;36
2024-07-17;33
