Category: All categories

Day;ETH: (Worldwide)
2023-03-23;66
2023-03-24;66
2023-03-25;54
2023-03-26;58
2023-03-27;60
2023-03-28;61
2023-03-29;62
2023-03-30;64
2023-03-31;56
2023-04-01;52
2023-04-02;54
2023-04-03;65
2023-04-04;60
2023-04-05;68
2023-04-06;59
2023-04-07;61
2023-04-08;50
2023-04-09;51
2023-04-10;58
2023-04-11;74
2023-04-12;86
2023-04-13;95
2023-04-14;100
2023-04-15;62
2023-04-16;64
2023-04-17;72
2023-04-18;70
2023-04-19;73
2023-04-20;66
2023-04-21;61
2023-04-22;56
2023-04-23;52
2023-04-24;55
2023-04-25;57
2023-04-26;60
2023-04-27;57
2023-04-28;56
2023-04-29;47
2023-04-30;53
2023-05-01;59
2023-05-02;57
2023-05-03;58
2023-05-04;57
2023-05-05;65
2023-05-06;59
2023-05-07;57
2023-05-08;78
2023-05-09;59
2023-05-10;63
2023-05-11;57
2023-05-12;55
2023-05-13;47
2023-05-14;49
2023-05-15;54
2023-05-16;53
2023-05-17;50
2023-05-18;46
2023-05-19;48
2023-05-20;43
2023-05-21;47
2023-05-22;57
2023-05-23;51
2023-05-24;47
2023-05-25;48
2023-05-26;51
2023-05-27;44
2023-05-28;45
2023-05-29;50
2023-05-30;52
2023-05-31;54
2023-06-01;51
2023-06-02;44
2023-06-03;46
2023-06-04;48
2023-06-05;57
2023-06-06;52
2023-06-07;50
2023-06-08;47
2023-06-09;46
2023-06-10;50
2023-06-11;44
2023-06-12;52
2023-06-13;44
2023-06-14;52
2023-06-15;55
2023-06-16;47
2023-06-17;44
2023-06-18;44
2023-06-19;46
2023-06-20;53
2023-06-21;59
2023-06-22;60
2023-06-23;51
2023-06-24;46
2023-06-25;47
2023-06-26;52
2023-06-27;55
2023-06-28;50
2023-06-29;52
2023-06-30;53
2023-07-01;45
2023-07-02;47
2023-07-03;57
2023-07-04;48
2023-07-05;52
2023-07-06;54
2023-07-07;48
2023-07-08;41
2023-07-09;44
2023-07-10;51
2023-07-11;52
2023-07-12;46
2023-07-13;60
2023-07-14;65
2023-07-15;45
2023-07-16;45
2023-07-17;53
2023-07-18;54
2023-07-19;54
2023-07-20;50
2023-07-21;48
2023-07-22;42
2023-07-23;44
2023-07-24;54
2023-07-25;49
2023-07-26;45
2023-07-27;47
2023-07-28;47
2023-07-29;43
2023-07-30;44
2023-07-31;48
2023-08-01;48
2023-08-02;43
2023-08-03;47
2023-08-04;47
2023-08-05;41
2023-08-06;44
2023-08-07;51
2023-08-08;46
2023-08-09;46
2023-08-10;50
2023-08-11;46
2023-08-12;43
2023-08-13;41
2023-08-14;47
2023-08-15;48
2023-08-16;47
2023-08-17;58
2023-08-18;59
2023-08-19;48
2023-08-20;47
2023-08-21;64
2023-08-22;53
2023-08-23;51
2023-08-24;54
2023-08-25;46
2023-08-26;41
2023-08-27;41
2023-08-28;48
2023-08-29;55
2023-08-30;54
2023-08-31;50
2023-09-01;53
2023-09-02;38
2023-09-03;39
2023-09-04;46
2023-09-05;46
2023-09-06;48
2023-09-07;47
2023-09-08;45
2023-09-09;35
2023-09-10;38
2023-09-11;46
2023-09-12;49
2023-09-13;48
2023-09-14;54
2023-09-15;52
2023-09-16;42
2023-09-17;42
2023-09-18;55
2023-09-19;56
2023-09-20;50
2023-09-21;52
2023-09-22;45
2023-09-23;42
2023-09-24;43
2023-09-25;50
2023-09-26;53
2023-09-27;49
2023-09-28;52
2023-09-29;47
2023-09-30;42
2023-10-01;43
2023-10-02;61
2023-10-03;47
2023-10-04;48
2023-10-05;49
2023-10-06;45
2023-10-07;38
2023-10-08;38
2023-10-09;52
2023-10-10;48
2023-10-11;44
2023-10-12;53
2023-10-13;43
2023-10-14;36
2023-10-15;38
2023-10-16;48
2023-10-17;51
2023-10-18;46
2023-10-19;45
2023-10-20;49
2023-10-21;39
2023-10-22;40
2023-10-23;59
2023-10-24;80
2023-10-25;62
2023-10-26;56
2023-10-27;52
2023-10-28;44
2023-10-29;45
2023-10-30;57
2023-10-31;57
2023-11-01;53
2023-11-02;58
2023-11-03;52
2023-11-04;46
2023-11-05;56
2023-11-06;62
2023-11-07;56
2023-11-08;55
2023-11-09;93
2023-11-10;96
2023-11-11;68
2023-11-12;59
2023-11-13;66
2023-11-14;69
2023-11-15;65
2023-11-16;60
2023-11-17;58
2023-11-18;52
2023-11-19;46
2023-11-20;64
2023-11-21;61
2023-11-22;68
2023-11-23;59
