Category: All categories

Day;SHIB: (Worldwide)
2023-03-23;43
2023-03-24;38
2023-03-25;37
2023-03-26;40
2023-03-27;40
2023-03-28;40
2023-03-29;45
2023-03-30;33
2023-03-31;37
2023-04-01;39
2023-04-02;40
2023-04-03;52
2023-04-04;59
2023-04-05;44
2023-04-06;45
2023-04-07;39
2023-04-08;43
2023-04-09;38
2023-04-10;42
2023-04-11;50
2023-04-12;42
2023-04-13;50
2023-04-14;46
2023-04-15;40
2023-04-16;54
2023-04-17;46
2023-04-18;44
2023-04-19;43
2023-04-20;38
2023-04-21;36
2023-04-22;36
2023-04-23;33
2023-04-24;32
2023-04-25;33
2023-04-26;35
2023-04-27;31
2023-04-28;28
2023-04-29;33
2023-04-30;36
2023-05-01;37
2023-05-02;33
2023-05-03;34
2023-05-04;36
2023-05-05;45
2023-05-06;38
2023-05-07;34
2023-05-08;38
2023-05-09;32
2023-05-10;31
2023-05-11;30
2023-05-12;33
2023-05-13;29
2023-05-14;29
2023-05-15;28
2023-05-16;29
2023-05-17;33
2023-05-18;30
2023-05-19;29
2023-05-20;29
2023-05-21;31
2023-05-22;29
2023-05-23;33
2023-05-24;32
2023-05-25;32
2023-05-26;30
2023-05-27;26
2023-05-28;30
2023-05-29;31
2023-05-30;33
2023-05-31;28
2023-06-01;29
2023-06-02;33
2023-06-03;31
2023-06-04;29
2023-06-05;28
2023-06-06;31
2023-06-07;26
2023-06-08;25
2023-06-09;30
2023-06-10;50
2023-06-11;36
2023-06-12;38
2023-06-13;28
2023-06-14;30
2023-06-15;31
2023-06-16;30
2023-06-17;30
2023-06-18;36
2023-06-19;31
2023-06-20;26
2023-06-21;35
2023-06-22;36
2023-06-23;29
2023-06-24;31
2023-06-25;34
2023-06-26;32
2023-06-27;32
2023-06-28;32
2023-06-29;30
2023-06-30;31
2023-07-01;31
2023-07-02;32
2023-07-03;36
2023-07-04;32
2023-07-05;28
2023-07-06;29
2023-07-07;34
2023-07-08;34
2023-07-09;34
2023-07-10;33
2023-07-11;30
2023-07-12;30
2023-07-13;40
2023-07-14;45
2023-07-15;40
2023-07-16;32
2023-07-17;35
2023-07-18;33
2023-07-19;33
2023-07-20;32
2023-07-21;33
2023-07-22;35
2023-07-23;34
2023-07-24;35
2023-07-25;36
2023-07-26;27
2023-07-27;29
2023-07-28;41
2023-07-29;48
2023-07-30;51
2023-07-31;49
2023-08-01;39
2023-08-02;37
2023-08-03;37
2023-08-04;51
2023-08-05;100
2023-08-06;66
2023-08-07;57
2023-08-08;55
2023-08-09;59
2023-08-10;53
2023-08-11;68
2023-08-12;100
2023-08-13;80
2023-08-14;74
2023-08-15;72
2023-08-16;80
2023-08-17;83
2023-08-18;60
2023-08-19;55
2023-08-20;45
2023-08-21;47
2023-08-22;43
2023-08-23;52
2023-08-24;48
2023-08-25;43
2023-08-26;40
2023-08-27;43
2023-08-28;40
2023-08-29;41
2023-08-30;40
2023-08-31;35
2023-09-01;36
2023-09-02;33
2023-09-03;37
2023-09-04;36
2023-09-05;34
2023-09-06;29
2023-09-07;33
2023-09-08;29
2023-09-09;32
2023-09-10;34
2023-09-11;29
2023-09-12;31
2023-09-13;27
2023-09-14;27
2023-09-15;30
2023-09-16;28
2023-09-17;32
2023-09-18;29
2023-09-19;27
2023-09-20;27
2023-09-21;28
2023-09-22;27
2023-09-23;36
2023-09-24;29
2023-09-25;27
2023-09-26;29
2023-09-27;28
2023-09-28;28
2023-09-29;24
2023-09-30;26
2023-10-01;27
2023-10-02;33
2023-10-03;28
2023-10-04;28
2023-10-05;26
2023-10-06;25
2023-10-07;25
2023-10-08;27
2023-10-09;28
2023-10-10;22
2023-10-11;26
2023-10-12;21
2023-10-13;27
2023-10-14;27
2023-10-15;27
2023-10-16;23
2023-10-17;26
2023-10-18;29
2023-10-19;26
2023-10-20;27
2023-10-21;23
2023-10-22;25
2023-10-23;34
2023-10-24;42
2023-10-25;37
2023-10-26;36
2023-10-27;31
2023-10-28;29
2023-10-29;35
2023-10-30;32
2023-10-31;34
2023-11-01;28
2023-11-02;28
2023-11-03;30
2023-11-04;28
2023-11-05;38
2023-11-06;35
2023-11-07;34
2023-11-08;34
2023-11-09;45
2023-11-10;39
2023-11-11;55
2023-11-12;41
2023-11-13;41
2023-11-14;38
2023-11-15;36
2023-11-16;36
2023-11-17;32
2023-11-18;33
2023-11-19;32
2023-11-20;32
2023-11-21;28
2023-11-22;32
2023-11-23;30
