Category: All categories

Day;USDT: (Worldwide)
2023-11-17;44
2023-11-18;38
2023-11-19;39
2023-11-20;50
2023-11-21;46
2023-11-22;49
2023-11-23;46
2023-11-24;44
2023-11-25;43
2023-11-26;42
2023-11-27;42
2023-11-28;43
2023-11-29;41
2023-11-30;42
2023-12-01;42
2023-12-02;47
2023-12-03;41
2023-12-04;50
2023-12-05;50
2023-12-06;51
2023-12-07;48
2023-12-08;49
2023-12-09;44
2023-12-10;47
2023-12-11;51
2023-12-12;44
2023-12-13;45
2023-12-14;50
2023-12-15;49
2023-12-16;48
2023-12-17;44
2023-12-18;49
2023-12-19;50
2023-12-20;51
2023-12-21;47
2023-12-22;53
2023-12-23;47
2023-12-24;52
2023-12-25;57
2023-12-26;57
2023-12-27;53
2023-12-28;52
2023-12-29;53
2023-12-30;46
2023-12-31;44
2024-01-01;49
2024-01-02;56
2024-01-03;53
2024-01-04;48
2024-01-05;47
2024-01-06;48
2024-01-07;44
2024-01-08;53
2024-01-09;55
2024-01-10;50
2024-01-11;60
2024-01-12;54
2024-01-13;52
2024-01-14;47
2024-01-15;45
2024-01-16;48
2024-01-17;49
2024-01-18;46
2024-01-19;48
2024-01-20;44
2024-01-21;45
2024-01-22;46
2024-01-23;46
2024-01-24;45
2024-01-25;40
2024-01-26;44
2024-01-27;45
2024-01-28;42
2024-01-29;53
2024-01-30;46
2024-01-31;47
2024-02-01;45
2024-02-02;47
2024-02-03;44
2024-02-04;42
2024-02-05;49
2024-02-06;48
2024-02-07;47
2024-02-08;47
2024-02-09;49
2024-02-10;40
2024-02-11;47
2024-02-12;49
2024-02-13;51
2024-02-14;51
2024-02-15;55
2024-02-16;48
2024-02-17;51
2024-02-18;51
2024-02-19;56
2024-02-20;55
2024-02-21;54
2024-02-22;55
2024-02-23;50
2024-02-24;51
2024-02-25;53
2024-02-26;58
2024-02-27;69
2024-02-28;86
2024-02-29;87
2024-03-01;75
2024-03-02;73
2024-03-03;66
2024-03-04;92
2024-03-05;100
2024-03-06;79
2024-03-07;76
2024-03-08;78
2024-03-09;73
2024-03-10;73
2024-03-11;88
2024-03-12;82
2024-03-13;85
2024-03-14;80
2024-03-15;77
2024-03-16;74
2024-03-17;71
2024-03-18;69
2024-03-19;76
2024-03-20;72
2024-03-21;65
2024-03-22;61
2024-03-23;61
2024-03-24;69
2024-03-25;70
2024-03-26;72
2024-03-27;68
2024-03-28;67
2024-03-29;66
2024-03-30;61
2024-03-31;65
2024-04-01;71
2024-04-02;65
2024-04-03;63
2024-04-04;58
2024-04-05;60
2024-04-06;56
2024-04-07;55
2024-04-08;61
2024-04-09;60
2024-04-10;57
2024-04-11;58
2024-04-12;62
2024-04-13;66
2024-04-14;71
2024-04-15;66
2024-04-16;54
2024-04-17;60
2024-04-18;57
2024-04-19;61
2024-04-20;61
2024-04-21;54
2024-04-22;55
2024-04-23;60
2024-04-24;61
2024-04-25;57
2024-04-26;53
2024-04-27;52
2024-04-28;51
2024-04-29;50
2024-04-30;53
2024-05-01;57
2024-05-02;55
2024-05-03;58
2024-05-04;51
2024-05-05;50
2024-05-06;48
2024-05-07;52
2024-05-08;51
2024-05-09;50
2024-05-10;52
2024-05-11;47
2024-05-12;47
2024-05-13;53
2024-05-14;50
2024-05-15;52
2024-05-16;63
2024-05-17;62
2024-05-18;59
2024-05-19;50
2024-05-20;57
2024-05-21;62
2024-05-22;55
2024-05-23;59
2024-05-24;59
2024-05-25;55
2024-05-26;55
2024-05-27;61
2024-05-28;55
2024-05-29;61
2024-05-30;55
2024-05-31;58
2024-06-01;51
2024-06-02;59
2024-06-03;57
2024-06-04;61
2024-06-05;91
2024-06-06;63
2024-06-07;60
2024-06-08;57
2024-06-09;58
2024-06-10;55
2024-06-11;61
2024-06-12;61
2024-06-13;65
2024-06-14;65
2024-06-15;60
2024-06-16;58
2024-06-17;59
2024-06-18;62
2024-06-19;60
2024-06-20;63
2024-06-21;54
2024-06-22;58
2024-06-23;61
2024-06-24;59
2024-06-25;58
2024-06-26;64
2024-06-27;55
2024-06-28;58
2024-06-29;53
2024-06-30;55
2024-07-01;60
2024-07-02;56
2024-07-03;61
2024-07-04;63
2024-07-05;66
2024-07-06;58
2024-07-07;55
2024-07-08;57
2024-07-09;56
2024-07-10;55
2024-07-11;57
2024-07-12;56
2024-07-13;54
2024-07-14;54
2024-07-15;60
2024-07-16;62
2024-07-17;65
