Category: All categories

Day;algorand: (Worldwide)
2023-11-17;43
2023-11-18;35
2023-11-19;37
2023-11-20;45
2023-11-21;29
2023-11-22;33
2023-11-23;32
2023-11-24;38
2023-11-25;36
2023-11-26;32
2023-11-27;24
2023-11-28;32
2023-11-29;32
2023-11-30;37
2023-12-01;42
2023-12-02;49
2023-12-03;41
2023-12-04;42
2023-12-05;47
2023-12-06;46
2023-12-07;42
2023-12-08;79
2023-12-09;100
2023-12-10;68
2023-12-11;46
2023-12-12;56
2023-12-13;43
2023-12-14;50
2023-12-15;45
2023-12-16;35
2023-12-17;36
2023-12-18;40
2023-12-19;42
2023-12-20;39
2023-12-21;60
2023-12-22;86
2023-12-23;67
2023-12-24;58
2023-12-25;50
2023-12-26;56
2023-12-27;48
2023-12-28;49
2023-12-29;46
2023-12-30;40
2023-12-31;39
2024-01-01;58
2024-01-02;51
2024-01-03;50
2024-01-04;44
2024-01-05;36
2024-01-06;40
2024-01-07;34
2024-01-08;45
2024-01-09;36
2024-01-10;42
2024-01-11;54
2024-01-12;35
2024-01-13;40
2024-01-14;39
2024-01-15;35
2024-01-16;34
2024-01-17;32
2024-01-18;31
2024-01-19;27
2024-01-20;28
2024-01-21;29
2024-01-22;33
2024-01-23;31
2024-01-24;29
2024-01-25;24
2024-01-26;28
2024-01-27;26
2024-01-28;34
2024-01-29;25
2024-01-30;30
2024-01-31;27
2024-02-01;29
2024-02-02;25
2024-02-03;26
2024-02-04;23
2024-02-05;30
2024-02-06;31
2024-02-07;32
2024-02-08;24
2024-02-09;32
2024-02-10;35
2024-02-11;30
2024-02-12;33
2024-02-13;31
2024-02-14;36
2024-02-15;34
2024-02-16;34
2024-02-17;32
2024-02-18;41
2024-02-19;31
2024-02-20;39
2024-02-21;28
2024-02-22;33
2024-02-23;32
2024-02-24;29
2024-02-25;56
2024-02-26;38
2024-02-27;44
2024-02-28;63
2024-02-29;56
2024-03-01;58
2024-03-02;59
2024-03-03;68
2024-03-04;75
2024-03-05;66
2024-03-06;58
2024-03-07;88
2024-03-08;61
2024-03-09;57
2024-03-10;52
2024-03-11;82
2024-03-12;74
2024-03-13;86
2024-03-14;59
2024-03-15;54
2024-03-16;39
2024-03-17;47
2024-03-18;55
2024-03-19;32
2024-03-20;45
2024-03-21;40
2024-03-22;39
2024-03-23;44
2024-03-24;41
2024-03-25;49
2024-03-26;50
2024-03-27;57
2024-03-28;48
2024-03-29;47
2024-03-30;33
2024-03-31;41
2024-04-01;46
2024-04-02;44
2024-04-03;44
2024-04-04;36
2024-04-05;28
2024-04-06;35
2024-04-07;36
2024-04-08;39
2024-04-09;34
2024-04-10;41
2024-04-11;27
2024-04-12;33
2024-04-13;40
2024-04-14;32
2024-04-15;35
2024-04-16;36
2024-04-17;35
2024-04-18;31
2024-04-19;23
2024-04-20;25
2024-04-21;23
2024-04-22;36
2024-04-23;27
2024-04-24;80
2024-04-25;32
2024-04-26;34
2024-04-27;30
2024-04-28;25
2024-04-29;26
2024-04-30;26
2024-05-01;29
2024-05-02;32
2024-05-03;26
2024-05-04;26
2024-05-05;23
2024-05-06;26
2024-05-07;26
2024-05-08;24
2024-05-09;22
2024-05-10;15
2024-05-11;25
2024-05-12;26
2024-05-13;23
2024-05-14;25
2024-05-15;33
2024-05-16;23
2024-05-17;25
2024-05-18;21
2024-05-19;20
2024-05-20;27
2024-05-21;30
2024-05-22;26
2024-05-23;22
2024-05-24;38
2024-05-25;31
2024-05-26;23
2024-05-27;32
2024-05-28;27
2024-05-29;30
2024-05-30;25
2024-05-31;16
2024-06-01;22
2024-06-02;27
2024-06-03;25
2024-06-04;31
2024-06-05;28
2024-06-06;23
2024-06-07;25
2024-06-08;24
2024-06-09;30
2024-06-10;20
2024-06-11;30
2024-06-12;19
2024-06-13;21
2024-06-14;37
2024-06-15;24
2024-06-16;21
2024-06-17;30
2024-06-18;32
2024-06-19;21
2024-06-20;23
2024-06-21;25
2024-06-22;23
2024-06-23;15
2024-06-24;31
2024-06-25;22
2024-06-26;28
2024-06-27;20
2024-06-28;13
2024-06-29;13
2024-06-30;19
2024-07-01;25
2024-07-02;25
2024-07-03;18
2024-07-04;28
2024-07-05;29
2024-07-06;18
2024-07-07;18
2024-07-08;31
2024-07-09;20
2024-07-10;19
2024-07-11;27
2024-07-12;21
2024-07-13;18
2024-07-14;23
2024-07-15;30
2024-07-16;23
2024-07-17;26
