Kategori: Alla kategorier

Dag;ethereum: (Över hela världen)
2023-11-17;21
2023-11-18;19
2023-11-19;18
2023-11-20;22
2023-11-21;21
2023-11-22;22
2023-11-23;21
2023-11-24;22
2023-11-25;19
2023-11-26;19
2023-11-27;18
2023-11-28;20
2023-11-29;21
2023-11-30;19
2023-12-01;22
2023-12-02;23
2023-12-03;24
2023-12-04;41
2023-12-05;38
2023-12-06;36
2023-12-07;34
2023-12-08;38
2023-12-09;30
2023-12-10;28
2023-12-11;30
2023-12-12;25
2023-12-13;25
2023-12-14;25
2023-12-15;23
2023-12-16;20
2023-12-17;20
2023-12-18;23
2023-12-19;23
2023-12-20;24
2023-12-21;24
2023-12-22;26
2023-12-23;22
2023-12-24;23
2023-12-25;23
2023-12-26;22
2023-12-27;26
2023-12-28;30
2023-12-29;26
2023-12-30;21
2023-12-31;22
2024-01-01;23
2024-01-02;36
2024-01-03;31
2024-01-04;26
2024-01-05;22
2024-01-06;21
2024-01-07;21
2024-01-08;26
2024-01-09;28
2024-01-10;41
2024-01-11;59
2024-01-12;46
2024-01-13;33
2024-01-14;28
2024-01-15;31
2024-01-16;29
2024-01-17;26
2024-01-18;25
2024-01-19;23
2024-01-20;21
2024-01-21;19
2024-01-22;24
2024-01-23;26
2024-01-24;21
2024-01-25;20
2024-01-26;21
2024-01-27;19
2024-01-28;18
2024-01-29;20
2024-01-30;21
2024-01-31;21
2024-02-01;18
2024-02-02;19
2024-02-03;16
2024-02-04;16
2024-02-05;18
2024-02-06;21
2024-02-07;20
2024-02-08;23
2024-02-09;26
2024-02-10;20
2024-02-11;23
2024-02-12;28
2024-02-13;31
2024-02-14;35
2024-02-15;35
2024-02-16;32
2024-02-17;26
2024-02-18;23
2024-02-19;37
2024-02-20;38
2024-02-21;35
2024-02-22;36
2024-02-23;27
2024-02-24;23
2024-02-25;31
2024-02-26;42
2024-02-27;56
2024-02-28;67
2024-02-29;63
2024-03-01;51
2024-03-02;44
2024-03-03;42
2024-03-04;63
2024-03-05;76
2024-03-06;69
2024-03-07;59
2024-03-08;63
2024-03-09;50
2024-03-10;52
2024-03-11;73
2024-03-12;63
2024-03-13;66
2024-03-14;52
2024-03-15;51
2024-03-16;39
2024-03-17;40
2024-03-18;43
2024-03-19;47
2024-03-20;52
2024-03-21;41
2024-03-22;36
2024-03-23;32
2024-03-24;32
2024-03-25;41
2024-03-26;37
2024-03-27;35
2024-03-28;34
2024-03-29;30
2024-03-30;24
2024-03-31;28
2024-04-01;29
2024-04-02;30
2024-04-03;30
2024-04-04;27
2024-04-05;25
2024-04-06;23
2024-04-07;22
2024-04-08;34
2024-04-09;26
2024-04-10;26
2024-04-11;24
2024-04-12;25
2024-04-13;28
2024-04-14;30
2024-04-15;29
2024-04-16;26
2024-04-17;25
2024-04-18;25
2024-04-19;25
2024-04-20;24
2024-04-21;20
2024-04-22;24
2024-04-23;22
2024-04-24;21
2024-04-25;20
2024-04-26;18
2024-04-27;19
2024-04-28;25
2024-04-29;20
2024-04-30;23
2024-05-01;23
2024-05-02;21
2024-05-03;20
2024-05-04;20
2024-05-05;18
2024-05-06;21
2024-05-07;19
2024-05-08;20
2024-05-09;17
2024-05-10;19
2024-05-11;16
2024-05-12;16
2024-05-13;18
2024-05-14;18
2024-05-15;19
2024-05-16;20
2024-05-17;20
2024-05-18;20
2024-05-19;20
2024-05-20;35
2024-05-21;72
2024-05-22;51
2024-05-23;100
2024-05-24;65
2024-05-25;33
2024-05-26;31
2024-05-27;41
2024-05-28;34
2024-05-29;30
2024-05-30;26
2024-05-31;25
2024-06-01;23
2024-06-02;23
2024-06-03;26
2024-06-04;25
2024-06-05;27
2024-06-06;28
2024-06-07;32
2024-06-08;22
2024-06-09;21
2024-06-10;21
2024-06-11;25
2024-06-12;23
2024-06-13;22
2024-06-14;21
2024-06-15;20
2024-06-16;20
2024-06-17;19
2024-06-18;22
2024-06-19;22
2024-06-20;22
2024-06-21;19
2024-06-22;17
2024-06-23;17
2024-06-24;23
2024-06-25;18
2024-06-26;17
2024-06-27;19
2024-06-28;17
2024-06-29;16
2024-06-30;17
2024-07-01;19
2024-07-02;20
2024-07-03;19
2024-07-04;22
2024-07-05;24
2024-07-06;18
2024-07-07;19
2024-07-08;21
2024-07-09;21
2024-07-10;21
2024-07-11;21
2024-07-12;21
2024-07-13;19
2024-07-14;19
2024-07-15;25
2024-07-16;25
2024-07-17;21
