Category: All categories

Day;polkadot: (Worldwide)
2023-03-23;72
2023-03-24;73
2023-03-25;62
2023-03-26;71
2023-03-27;67
2023-03-28;67
2023-03-29;71
2023-03-30;75
2023-03-31;70
2023-04-01;68
2023-04-02;80
2023-04-03;58
2023-04-04;73
2023-04-05;80
2023-04-06;69
2023-04-07;58
2023-04-08;70
2023-04-09;68
2023-04-10;76
2023-04-11;74
2023-04-12;68
2023-04-13;66
2023-04-14;75
2023-04-15;71
2023-04-16;79
2023-04-17;65
2023-04-18;67
2023-04-19;61
2023-04-20;57
2023-04-21;64
2023-04-22;60
2023-04-23;68
2023-04-24;55
2023-04-25;73
2023-04-26;65
2023-04-27;69
2023-04-28;71
2023-04-29;59
2023-04-30;63
2023-05-01;69
2023-05-02;65
2023-05-03;76
2023-05-04;67
2023-05-05;64
2023-05-06;65
2023-05-07;59
2023-05-08;55
2023-05-09;64
2023-05-10;66
2023-05-11;72
2023-05-12;64
2023-05-13;56
2023-05-14;56
2023-05-15;61
2023-05-16;65
2023-05-17;63
2023-05-18;58
2023-05-19;61
2023-05-20;63
2023-05-21;62
2023-05-22;51
2023-05-23;61
2023-05-24;57
2023-05-25;57
2023-05-26;53
2023-05-27;65
2023-05-28;62
2023-05-29;58
2023-05-30;65
2023-05-31;55
2023-06-01;56
2023-06-02;59
2023-06-03;54
2023-06-04;62
2023-06-05;55
2023-06-06;58
2023-06-07;57
2023-06-08;57
2023-06-09;57
2023-06-10;75
2023-06-11;62
2023-06-12;62
2023-06-13;56
2023-06-14;61
2023-06-15;68
2023-06-16;69
2023-06-17;67
2023-06-18;62
2023-06-19;62
2023-06-20;69
2023-06-21;69
2023-06-22;66
2023-06-23;70
2023-06-24;69
2023-06-25;65
2023-06-26;61
2023-06-27;69
2023-06-28;74
2023-06-29;72
2023-06-30;62
2023-07-01;68
2023-07-02;73
2023-07-03;76
2023-07-04;70
2023-07-05;57
2023-07-06;64
2023-07-07;60
2023-07-08;61
2023-07-09;66
2023-07-10;59
2023-07-11;62
2023-07-12;61
2023-07-13;66
2023-07-14;80
2023-07-15;69
2023-07-16;68
2023-07-17;75
2023-07-18;68
2023-07-19;77
2023-07-20;78
2023-07-21;79
2023-07-22;72
2023-07-23;71
2023-07-24;73
2023-07-25;75
2023-07-26;75
2023-07-27;71
2023-07-28;62
2023-07-29;66
2023-07-30;70
2023-07-31;77
2023-08-01;74
2023-08-02;78
2023-08-03;76
2023-08-04;72
2023-08-05;55
2023-08-06;70
2023-08-07;72
2023-08-08;76
2023-08-09;59
2023-08-10;64
2023-08-11;58
2023-08-12;62
2023-08-13;60
2023-08-14;60
2023-08-15;70
2023-08-16;60
2023-08-17;65
2023-08-18;67
2023-08-19;61
2023-08-20;66
2023-08-21;63
2023-08-22;61
2023-08-23;64
2023-08-24;58
2023-08-25;51
2023-08-26;54
2023-08-27;65
2023-08-28;59
2023-08-29;59
2023-08-30;62
2023-08-31;60
2023-09-01;60
2023-09-02;59
2023-09-03;65
2023-09-04;57
2023-09-05;64
2023-09-06;55
2023-09-07;55
2023-09-08;55
2023-09-09;57
2023-09-10;62
2023-09-11;57
2023-09-12;59
2023-09-13;56
2023-09-14;59
2023-09-15;51
2023-09-16;54
2023-09-17;67
2023-09-18;58
2023-09-19;59
2023-09-20;59
2023-09-21;47
2023-09-22;56
2023-09-23;58
2023-09-24;58
2023-09-25;55
2023-09-26;55
2023-09-27;49
2023-09-28;56
2023-09-29;49
2023-09-30;49
2023-10-01;52
2023-10-02;63
2023-10-03;51
2023-10-04;49
2023-10-05;77
2023-10-06;51
2023-10-07;48
2023-10-08;56
2023-10-09;63
2023-10-10;53
2023-10-11;58
2023-10-12;58
2023-10-13;51
2023-10-14;42
2023-10-15;64
2023-10-16;57
2023-10-17;62
2023-10-18;63
2023-10-19;65
2023-10-20;56
2023-10-21;63
2023-10-22;58
2023-10-23;78
2023-10-24;90
2023-10-25;76
2023-10-26;68
2023-10-27;62
2023-10-28;60
2023-10-29;61
2023-10-30;66
2023-10-31;69
2023-11-01;77
2023-11-02;75
2023-11-03;66
2023-11-04;65
2023-11-05;72
2023-11-06;74
2023-11-07;73
2023-11-08;83
2023-11-09;84
2023-11-10;93
2023-11-11;94
2023-11-12;100
2023-11-13;79
2023-11-14;71
2023-11-15;77
2023-11-16;80
2023-11-17;71
2023-11-18;73
2023-11-19;64
2023-11-20;77
2023-11-21;71
2023-11-22;63
2023-11-23;61
