Category: All categories

Day;storj: (Worldwide)
2023-11-17;44
2023-11-18;37
2023-11-19;16
2023-11-20;34
2023-11-21;16
2023-11-22;30
2023-11-23;29
2023-11-24;25
2023-11-25;26
2023-11-26;17
2023-11-27;24
2023-11-28;12
2023-11-29;20
2023-11-30;19
2023-12-01;19
2023-12-02;20
2023-12-03;21
2023-12-04;21
2023-12-05;32
2023-12-06;45
2023-12-07;33
2023-12-08;38
2023-12-09;23
2023-12-10;19
2023-12-11;27
2023-12-12;22
2023-12-13;43
2023-12-14;39
2023-12-15;66
2023-12-16;29
2023-12-17;74
2023-12-18;46
2023-12-19;32
2023-12-20;31
2023-12-21;72
2023-12-22;94
2023-12-23;100
2023-12-24;98
2023-12-25;96
2023-12-26;72
2023-12-27;82
2023-12-28;80
2023-12-29;80
2023-12-30;65
2023-12-31;60
2024-01-01;56
2024-01-02;67
2024-01-03;78
2024-01-04;47
2024-01-05;37
2024-01-06;43
2024-01-07;33
2024-01-08;45
2024-01-09;37
2024-01-10;36
2024-01-11;42
2024-01-12;56
2024-01-13;31
2024-01-14;26
2024-01-15;38
2024-01-16;23
2024-01-17;30
2024-01-18;22
2024-01-19;26
2024-01-20;31
2024-01-21;26
2024-01-22;21
2024-01-23;27
2024-01-24;28
2024-01-25;36
2024-01-26;20
2024-01-27;33
2024-01-28;21
2024-01-29;62
2024-01-30;27
2024-01-31;24
2024-02-01;17
2024-02-02;20
2024-02-03;23
2024-02-04;18
2024-02-05;15
2024-02-06;24
2024-02-07;27
2024-02-08;22
2024-02-09;14
2024-02-10;13
2024-02-11;19
2024-02-12;16
2024-02-13;17
2024-02-14;29
2024-02-15;28
2024-02-16;25
2024-02-17;49
2024-02-18;37
2024-02-19;31
2024-02-20;64
2024-02-21;28
2024-02-22;26
2024-02-23;24
2024-02-24;22
2024-02-25;25
2024-02-26;26
2024-02-27;32
2024-02-28;35
2024-02-29;25
2024-03-01;26
2024-03-02;25
2024-03-03;17
2024-03-04;29
2024-03-05;28
2024-03-06;19
2024-03-07;24
2024-03-08;49
2024-03-09;41
2024-03-10;21
2024-03-11;27
2024-03-12;19
2024-03-13;25
2024-03-14;22
2024-03-15;16
2024-03-16;17
2024-03-17;21
2024-03-18;18
2024-03-19;19
2024-03-20;0
2024-03-21;22
2024-03-22;23
2024-03-23;19
2024-03-24;13
2024-03-25;24
2024-03-26;17
2024-03-27;22
2024-03-28;23
2024-03-29;23
2024-03-30;12
2024-03-31;0
2024-04-01;0
2024-04-02;15
2024-04-03;18
2024-04-04;17
2024-04-05;16
2024-04-06;14
2024-04-07;16
2024-04-08;18
2024-04-09;17
2024-04-10;20
2024-04-11;15
2024-04-12;14
2024-04-13;0
2024-04-14;19
2024-04-15;18
2024-04-16;14
2024-04-17;10
2024-04-18;12
2024-04-19;11
2024-04-20;0
2024-04-21;15
2024-04-22;0
2024-04-23;12
2024-04-24;12
2024-04-25;14
2024-04-26;14
2024-04-27;0
2024-04-28;12
2024-04-29;16
2024-04-30;15
2024-05-01;16
2024-05-02;11
2024-05-03;22
2024-05-04;13
2024-05-05;0
2024-05-06;16
2024-05-07;19
2024-05-08;10
2024-05-09;15
2024-05-10;0
2024-05-11;13
2024-05-12;0
2024-05-13;10
2024-05-14;18
2024-05-15;15
2024-05-16;0
2024-05-17;0
2024-05-18;13
2024-05-19;19
2024-05-20;15
2024-05-21;19
2024-05-22;17
2024-05-23;0
2024-05-24;12
2024-05-25;0
2024-05-26;0
2024-05-27;17
2024-05-28;19
2024-05-29;19
2024-05-30;14
2024-05-31;12
2024-06-01;0
2024-06-02;0
2024-06-03;13
2024-06-04;14
2024-06-05;15
2024-06-06;24
2024-06-07;21
2024-06-08;18
2024-06-09;16
2024-06-10;22
2024-06-11;21
2024-06-12;0
2024-06-13;14
2024-06-14;15
2024-06-15;14
2024-06-16;0
2024-06-17;21
2024-06-18;19
2024-06-19;19
2024-06-20;12
2024-06-21;19
2024-06-22;22
2024-06-23;20
2024-06-24;12
2024-06-25;19
2024-06-26;0
2024-06-27;13
2024-06-28;14
2024-06-29;0
2024-06-30;30
2024-07-01;15
2024-07-02;17
2024-07-03;0
2024-07-04;0
2024-07-05;0
2024-07-06;0
2024-07-07;0
2024-07-08;15
2024-07-09;14
2024-07-10;11
2024-07-11;11
2024-07-12;0
2024-07-13;18
2024-07-14;0
2024-07-15;12
2024-07-16;0
2024-07-17;0
