Category: All categories

Day;tether: (Worldwide)
2023-11-17;74
2023-11-18;70
2023-11-19;66
2023-11-20;82
2023-11-21;85
2023-11-22;82
2023-11-23;71
2023-11-24;77
2023-11-25;76
2023-11-26;73
2023-11-27;72
2023-11-28;68
2023-11-29;64
2023-11-30;66
2023-12-01;65
2023-12-02;69
2023-12-03;70
2023-12-04;69
2023-12-05;75
2023-12-06;68
2023-12-07;77
2023-12-08;81
2023-12-09;76
2023-12-10;74
2023-12-11;72
2023-12-12;72
2023-12-13;71
2023-12-14;68
2023-12-15;69
2023-12-16;66
2023-12-17;70
2023-12-18;77
2023-12-19;68
2023-12-20;70
2023-12-21;68
2023-12-22;61
2023-12-23;68
2023-12-24;69
2023-12-25;72
2023-12-26;71
2023-12-27;74
2023-12-28;75
2023-12-29;71
2023-12-30;71
2023-12-31;60
2024-01-01;70
2024-01-02;71
2024-01-03;67
2024-01-04;74
2024-01-05;79
2024-01-06;100
2024-01-07;76
2024-01-08;67
2024-01-09;78
2024-01-10;75
2024-01-11;80
2024-01-12;73
2024-01-13;72
2024-01-14;75
2024-01-15;76
2024-01-16;73
2024-01-17;68
2024-01-18;73
2024-01-19;78
2024-01-20;74
2024-01-21;69
2024-01-22;65
2024-01-23;70
2024-01-24;63
2024-01-25;73
2024-01-26;70
2024-01-27;74
2024-01-28;61
2024-01-29;79
2024-01-30;74
2024-01-31;80
2024-02-01;82
2024-02-02;74
2024-02-03;72
2024-02-04;77
2024-02-05;72
2024-02-06;74
2024-02-07;72
2024-02-08;73
2024-02-09;82
2024-02-10;77
2024-02-11;72
2024-02-12;75
2024-02-13;76
2024-02-14;81
2024-02-15;72
2024-02-16;74
2024-02-17;75
2024-02-18;75
2024-02-19;73
2024-02-20;73
2024-02-21;75
2024-02-22;71
2024-02-23;72
2024-02-24;64
2024-02-25;72
2024-02-26;76
2024-02-27;77
2024-02-28;84
2024-02-29;82
2024-03-01;84
2024-03-02;93
2024-03-03;87
2024-03-04;99
2024-03-05;100
2024-03-06;96
2024-03-07;84
2024-03-08;83
2024-03-09;79
2024-03-10;84
2024-03-11;94
2024-03-12;87
2024-03-13;86
2024-03-14;86
2024-03-15;86
2024-03-16;90
2024-03-17;76
2024-03-18;80
2024-03-19;82
2024-03-20;84
2024-03-21;84
2024-03-22;81
2024-03-23;77
2024-03-24;82
2024-03-25;85
2024-03-26;75
2024-03-27;80
2024-03-28;79
2024-03-29;81
2024-03-30;75
2024-03-31;80
2024-04-01;99
2024-04-02;97
2024-04-03;86
2024-04-04;83
2024-04-05;99
2024-04-06;83
2024-04-07;80
2024-04-08;79
2024-04-09;75
2024-04-10;80
2024-04-11;80
2024-04-12;79
2024-04-13;96
2024-04-14;93
2024-04-15;87
2024-04-16;75
2024-04-17;81
2024-04-18;79
2024-04-19;92
2024-04-20;77
2024-04-21;74
2024-04-22;77
2024-04-23;87
2024-04-24;83
2024-04-25;74
2024-04-26;78
2024-04-27;79
2024-04-28;73
2024-04-29;82
2024-04-30;78
2024-05-01;83
2024-05-02;85
2024-05-03;81
2024-05-04;74
2024-05-05;71
2024-05-06;71
2024-05-07;69
2024-05-08;75
2024-05-09;65
2024-05-10;70
2024-05-11;70
2024-05-12;62
2024-05-13;75
2024-05-14;67
2024-05-15;68
2024-05-16;67
2024-05-17;81
2024-05-18;81
2024-05-19;80
2024-05-20;76
2024-05-21;79
2024-05-22;77
2024-05-23;69
2024-05-24;78
2024-05-25;67
2024-05-26;74
2024-05-27;84
2024-05-28;75
2024-05-29;71
2024-05-30;76
2024-05-31;71
2024-06-01;70
2024-06-02;74
2024-06-03;73
2024-06-04;70
2024-06-05;74
2024-06-06;77
2024-06-07;79
2024-06-08;81
2024-06-09;79
2024-06-10;75
2024-06-11;76
2024-06-12;76
2024-06-13;84
2024-06-14;90
2024-06-15;83
2024-06-16;74
2024-06-17;93
2024-06-18;88
2024-06-19;80
2024-06-20;83
2024-06-21;85
2024-06-22;74
2024-06-23;72
2024-06-24;81
2024-06-25;75
2024-06-26;74
2024-06-27;81
2024-06-28;72
2024-06-29;68
2024-06-30;74
2024-07-01;88
2024-07-02;80
2024-07-03;71
2024-07-04;75
2024-07-05;72
2024-07-06;73
2024-07-07;72
2024-07-08;76
2024-07-09;74
2024-07-10;72
2024-07-11;75
2024-07-12;68
2024-07-13;72
2024-07-14;72
2024-07-15;78
2024-07-16;86
2024-07-17;89
