Kategori: Alla kategorier;
;
Dag;solana: (Över hela världen)
2023-11-17;27
2023-11-18;22
2023-11-19;22
2023-11-20;29
2023-11-21;25
2023-11-22;26
2023-11-23;21
2023-11-24;20
2023-11-25;18
2023-11-26;18
2023-11-27;18
2023-11-28;19
2023-11-29;21
2023-11-30;21
2023-12-01;21
2023-12-02;23
2023-12-03;23
2023-12-04;28
2023-12-05;24
2023-12-06;26
2023-12-07;28
2023-12-08;46
2023-12-09;36
2023-12-10;31
2023-12-11;29
2023-12-12;27
2023-12-13;25
2023-12-14;27
2023-12-15;41
2023-12-16;36
2023-12-17;31
2023-12-18;30
2023-12-19;31
2023-12-20;39
2023-12-21;63
2023-12-22;69
2023-12-23;61
2023-12-24;100
2023-12-25;81
2023-12-26;70
2023-12-27;57
2023-12-28;53
2023-12-29;42
2023-12-30;39
2023-12-31;34
2024-01-01;36
2024-01-02;45
2024-01-03;41
2024-01-04;33
2024-01-05;37
2024-01-06;33
2024-01-07;33
2024-01-08;35
2024-01-09;34
2024-01-10;34
2024-01-11;37
2024-01-12;30
2024-01-13;30
2024-01-14;29
2024-01-15;27
2024-01-16;29
2024-01-17;32
2024-01-18;28
2024-01-19;28
2024-01-20;28
2024-01-21;30
2024-01-22;29
2024-01-23;29
2024-01-24;25
2024-01-25;27
2024-01-26;29
2024-01-27;29
2024-01-28;29
2024-01-29;30
2024-01-30;33
2024-01-31;37
2024-02-01;30
2024-02-02;29
2024-02-03;24
2024-02-04;25
2024-02-05;27
2024-02-06;38
2024-02-07;28
2024-02-08;27
2024-02-09;28
2024-02-10;29
2024-02-11;28
2024-02-12;29
2024-02-13;31
2024-02-14;32
2024-02-15;34
2024-02-16;31
2024-02-17;25
2024-02-18;25
2024-02-19;28
2024-02-20;25
2024-02-21;27
2024-02-22;25
2024-02-23;25
2024-02-24;22
2024-02-25;23
2024-02-26;26
2024-02-27;32
2024-02-28;36
2024-02-29;50
2024-03-01;39
2024-03-02;35
2024-03-03;35
2024-03-04;43
2024-03-05;44
2024-03-06;42
2024-03-07;54
2024-03-08;53
2024-03-09;46
2024-03-10;49
2024-03-11;48
2024-03-12;46
2024-03-13;55
2024-03-14;72
2024-03-15;78
2024-03-16;89
2024-03-17;81
2024-03-18;99
2024-03-19;77
2024-03-20;60
2024-03-21;54
2024-03-22;48
2024-03-23;43
2024-03-24;41
2024-03-25;51
2024-03-26;48
2024-03-27;45
2024-03-28;44
2024-03-29;45
2024-03-30;47
2024-03-31;47
2024-04-01;47
2024-04-02;45
2024-04-03;41
2024-04-04;42
2024-04-05;50
2024-04-06;42
2024-04-07;40
2024-04-08;44
2024-04-09;41
2024-04-10;36
2024-04-11;36
2024-04-12;38
2024-04-13;44
2024-04-14;40
2024-04-15;36
2024-04-16;34
2024-04-17;35
2024-04-18;33
2024-04-19;33
2024-04-20;32
2024-04-21;29
2024-04-22;31
2024-04-23;30
2024-04-24;30
2024-04-25;30
2024-04-26;28
2024-04-27;28
2024-04-28;27
2024-04-29;28
2024-04-30;28
2024-05-01;31
2024-05-02;27
2024-05-03;25
2024-05-04;28
2024-05-05;26
2024-05-06;29
2024-05-07;28
2024-05-08;26
2024-05-09;26
2024-05-10;26
2024-05-11;24
2024-05-12;23
2024-05-13;27
2024-05-14;27
2024-05-15;27
2024-05-16;31
2024-05-17;35
